Субъект России,"Население, чел","Площадь,км²","Плотность населения, чел/км²",Заболевшие за неделю,Заболевшие за сутки,"Заболевшие за неделю, %","Средняя вероятность, %/сутки"
Тамбовская область,994420,34462,29.0,1246,206,0.125299169365057,0.020715593008990164
Тверская область,1245619,84201,15.0,2390,397,0.19187247464915036,0.03187170394799694
Томская область,1070339,314391,3.0,1518,274,0.1418242257826726,0.025599366182116133
Тульская область,1449115,25679,56.0,1599,272,0.11034320947612852,0.018770076909009982
Тюменская область,3778053,1464173,3.0,2066,348,0.05468425138556817,0.009211093650618453
Удмуртская Республика,1493356,42061,36.0,2356,390,0.15776546248851578,0.026115675029932582
Ульяновская область,1218319,37181,33.0,3367,545,0.27636440045669486,0.044733768413691324
Хабаровский край,1301127,787633,2.0,2846,496,0.2187334518459766,0.03812079835404231
Ханты-Мансийский ао-Югра,1687654,534801,3.0,1556,258,0.09219899339556567,0.015287493763532098
Челябинская область,3442810,88529,39.0,3252,560,0.09445772493980209,0.016265782892462843
Чеченская Республика,1497992,15647,96.0,696,116,0.046462197394912655,0.007743699565818775
Чувашская Республика,1207875,18343,66.0,1073,180,0.08883369553968747,0.014902204284383732
Чукотский автономный округ,49527,721481,0.0,108,18,0.21806287479556605,0.036343812465927675
Ямало-Ненецкий ао,547010,769250,1.0,873,146,0.15959488857607723,0.026690554103215663
Ярославская область,1241424,36177,34.0,1681,279,0.13540901416437898,0.02247419092912655
